    year,base_1,tau_1(%),base_2,tau_2(%),base_3,tau_3(%),base_4,tau_4(%),base_5,tau_5(%),base_6,tau_6(%)
2005,0.00,8.72,4080.00,4.42,14076.00,10.28,26316.00,16.74,45900.00,26.43,,
2006,0.00,11.29,4161.60,4.71,14357.52,10.52,26842.32,17.03,46818.00,26.89,,
2007,0.00,5.68,17360.00,12.32,32360.00,18.49,52360.00,27.50,,,,
2008,0.00,3.68,17707.20,10.51,33007.20,17.38,53407.20,26.83,,,,
2009,0.00,3.31,17707.20,10.45,33007.20,17.28,53407.20,26.66,,,,
2010,0.00,4.17,17707.20,12.25,33007.20,18.34,53407.20,27.03,,,,
2011,0.00,3.74,17707.20,12.21,33007.20,18.25,53407.20,26.42,120000.20,34.59,175000.20,39.58
2012,0.00,3.75,17707.20,12.93,33007.20,19.47,53407.20,28.28,120000.20,37.61,175000.20,43.31
2013,0.00,3.62,17707.20,13.12,33007.20,19.55,53407.20,28.32,120000.20,37.75,175000.20,43.80
2014,0.00,3.48,17707.20,13.12,33007.20,19.52,53407.20,28.16,120000.20,37.52,175000.20,43.68
2015,0.00,1.68,12450.00,5.95,20200.00,12.66,34000.00,18.81,60000.00,28.68,,
2016,0.00,2.04,12450.00,6.02,20200.00,12.89,35200.00,19.22,60000.00,28.62,,
2017,0.00,2.47,12450.00,6.20,20200.00,12.79,35200.00,19.38,60000.00,28.92,,
2018,0.00,2.47,12450.00,6.20,20200.00,12.79,35200.00,19.38,60000.00,28.92,,
